Item No.,Time Period,Phase,Row Type,Type of Work,Contractor Name,Scheduled Original,Scheduled Change Orders,Scheduled Current,Work Completed From Previous Application,Work Completed This Period,Materials Presently Stored,Total Completed and Stored,% (G / C),Balance to Finish (C-G),Retainage (If Variable Rate)
002,2/28/26,P1SI,line_item,TEMP GSE BUILDINGS,SPRUNG INSTANT,1078108.0,19903.0,1098011.0,1024203,0.0,0.0,1024203,93,73808.0,51210.0
003,2/28/26,P1SI,line_item,EARTHWORK & UTILITIES,LANDMARK,22144944.0,2222342.0,24367286.0,24109751,170034.0,0.0,24279785,100,87501.0,1213989.0
004,2/28/26,P1SI,line_item,STRUCTURAL CONCRETE,LITHKO,1851808.0,209485.0,2061293.0,2061293,0.0,0.0,2061293,100,0.0,6800.0
005,2/28/26,P1SI,line_item,PREFAB STRUCTURE INSTALL,NAVIGATOR,512467.0,,512467.0,512467,0.0,0.0,512467,100,0.0,25623.0
006,2/28/26,P1SI,line_item,SITE ELECTRICAL TEMP GSE,FEYEN ZYLSTRA,8495490.0,,8495490.0,8495490,0.0,0.0,8495490,100,0.0,424775.0
007,2/28/26,P1SI,line_item,MECHANICAL & PLUMBING,CR HIPP,819828.0,23085.0,842913.0,829913,0.0,0.0,829913,98,13000.0,0.0
008,2/28/26,P1SI,line_item,BSWOB SHELTER,DUO-GARD INDUSTRIES,182800.0,,182800.0,182800,0.0,0.0,182800,100,0.0,9140.0
009,2/28/26,P1SI,line_item,PERMANENT FENCING,MANER FENCING,635686.0,53290.0,688976.0,688976,0.0,0.0,688976,100,0.0,34449.0
010,2/28/26,P1SI,line_item,SITE ELECTRICAL,FEYEN ZYLSTRA,7165932.0,587443.0,7753375.0,7753375,0.0,0.0,7753375,100,0.0,387669.0
011,2/28/26,P1SI,line_item,LANDSCAPING,YELLOWSTONE LANDSCAPE,1146740.0,89050.0,1235790.0,985806,0.0,0.0,985806,80,249984.0,49290.0
012,2/28/26,P1SI,line_item,GENERAL REQUIREMENTS,,71060.0,,71060.0,71060,0.0,0.0,71060,100,0.0,3553.0
