Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
001,2/28/26,P1SI,UNCOMMITTED SUB COST,,282354,0,282354,0,0,0,0,0%,282354,0,2,
002,2/28/26,P1SI,TEMP SEB BUILDINGS,SPRUNG INSTANT,1078108,19903,1098011,1024203,0,0,1024203,93%,73808,51210,2,
003,2/28/26,P1SI,EARTHWORK & UTILITIES,LANDMARK,22144944,2222342,24367286,24109751,170034,0,24279785,100%,87501,1213989,2,
004,2/28/26,P1SI,STRUCTURAL CONCRETE,LITHKO,1851808,209485,2061293,2061293,0,0,2061293,100%,0,6800,2,
005,2/28/26,P1SI,PREFAB STRUCTURE INSTALL,NAVIGATOR,512467,0,512467,512467,0,0,512467,100%,0,25623,2,
006,2/28/26,P1SI,SITE ELECTRICAL TEMP GSE,FEYEN ZYLSTRA,8495490,0,8495490,8495490,0,0,8495490,100%,0,424775,2,
007,2/28/26,P1SI,MECHANICAL & PLUMBING,CR HIPP,819828,23085,842913,829913,0,0,829913,98%,13000,0,2,
008,2/28/26,P1SI,BSWOB SHELTER,DU-GARD INDUSTRIES,182800,0,182800,182800,0,0,182800,100%,0,9140,2,
009,2/28/26,P1SI,PERMANENT FENCING,MANER FENCING,635686,53290,688976,688976,0,0,688976,100%,0,34449,2,
010,2/28/26,P1SI,SITE ELECTRICAL,FEYEN ZYLSTRA,7165932,587443,7753375,7753375,0,0,7753375,100%,0,387669,2,
011,2/28/26,P1SI,LANDSCAPING,YELLOWSTONE LANDSCAPE,1146740,89050,1235790,985806,0,0,985806,80%,249984,49290,2,
012,2/28/26,P1SI,GENERAL REQUIREMENTS,,0,71060,71060,0,71060,0,71060,100%,0,3553,2,
013,2/28/26,P1SI,ALLOWANCE,,0,40969,40969,0,0,0,0,0%,40969,0,2,
014,2/28/26,P1SI,BUSINESS LICENSE,,0,352,352,0,352,0,352,100%,0,18,2,
015,2/28/26,P1SI,BUILDERS RISK,,0,2283,2283,0,0,0,0,0%,2283,0,2,
016,2/28/26,P1SI,PERMITS,,0,2539,2539,0,2539,0,2539,100%,0,127,2,
017,2/28/26,P1SI,CCIP,,0,92735,92735,0,92735,0,92735,100%,0,4637,2,
018,2/28/26,P1SI,SDI,,0,46134,46134,46134,0,0,46134,100%,0,2307,2,
019,2/28/26,P1SI,FEE,,0,118669,118669,115890,0,0,115890,98%,2779,5795,2,
020,2/28/26,SITE,UNCOMMITTED SUB COST,,-25216784,24865162,-351622,0,0,0,0,0%,-351622,0,2,
021,2/28/26,SITE,MV CABLE,FEYEN ZYLSTRA,1377481,0,1377481,1377481,0,0,1377481,100%,0,68874,2,
022,2/28/26,SITE,SITE MEDIUM VOLTAGE,ELDECO,28174035,10526739,38700774,30705011,0,0,30705011,79%,7995763,1535251,2,
023,2/28/26,SITE,MS-C AND MS-D NEW SHINEY,ELDECO,4688138,0,4688138,1586632,0,0,1586632,34%,3101506,79332,2,Description OCR uncertain: 'SHINEY'.
024,2/28/26,SITE,MECHANICAL & PLUMBING,CR HIPP,1645769,0,1645769,1108813,0,0,1108813,67%,536956,55441,2,
025,2/28/26,SITE,SITEWORK - 78' POND,GULFSTREAM,14166965,167420,14334385,7044583,2726573,0,9771156,68%,4563229,488558,2,
026,2/28/26,SITE,COMMUNICATIONS,NOJ ELDECO,6131066,0,6131066,0,0,0,0,0%,6131066,0,2,Contractor name OCR uncertain.
027,2/28/26,SITE,FIRE PUMPS REPLACEMENTS,SHAMBAUGH,278000,0,278000,0,0,0,0,0%,278000,0,2,
028,2/28/26,SITE,GENERAL REQUIREMENTS,,7123913,14042,7137955,3608502,574564,0,4183065,59%,2954890,0,2,
029,2/28/26,SITE,GENERAL CONDITIONS,,2817315,0,2817315,2817315,0,0,2817315,100%,0,0,2,
030,2/28/26,SITE,PERMIT,,1000000,34328,1034328,1000000,0,0,1000000,97%,34328,0,2,
031,2/28/26,SITE,BUILDERS RISK,,129920,30834,160754,0,0,0,0,0%,160754,0,3,
032,2/28/26,SITE,BUSINESS LICENSE,,31000,4769,35769,0,0,0,0,0%,35769,0,3,
033,2/28/26,SITE,CCIP,,1323257,1002648,2325905,2052710,0,0,2052710,88%,273195,0,3,
034,2/28/26,SITE,SDI,,649598,492213,1141811,1061266,0,0,1061266,93%,80545,0,3,
035,2/28/26,SITE,FEE,,1469442,1169851,2639293,1694648,95000,0,1789648,68%,849645,0,3,
036,2/28/26,SITE,CONCRETE,LITHKO,0,473681,473681,0,0,0,0,0%,473681,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
037,2/28/26,SITE,ELECTRICAL,FEYEN ZYLSTRA,0,1479487,1479487,1195739,0,0,1195739,81%,283748,59787,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
038,2/28/26,SITE,SITEWORK,OL THOMPSON,0,1053843,1053843,532905,237894,0,770799,73%,283044,38540,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
039,2/28/26,SITE,PERMANENT FENCING,MANER,0,14160,14160,14160,0,0,14160,100%,0,708,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
040,2/28/26,SITE,GENERAL REQUIREMENTS,,0,92500,92500,0,0,0,0,0%,92500,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
041,2/28/26,SITE,GENERAL CONDITIONS,,0,146511,146511,0,0,0,0,0%,146511,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
042,2/28/26,SITE,DESIGN ESCALATION,,0,79066,79066,0,0,0,0,0%,79066,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
043,2/28/26,SITE,BUILDERS RISK,,0,339,339,0,0,0,0,0%,339,0,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
