Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
001,2/28/2026,P1SI,UNCOMMITTED SUB COST,,282354.0,,282354.0,,,,,0,282354.0,,2,
002,2/28/2026,P1SI,TEMP SEB BUILDINGS,SPRUNG INSTANT,1078108.0,19903.0,1098011.0,1024203.0,,,1024203.0,93,73808.0,51210.0,2,
003,2/28/2026,P1SI,EARTHWORK & UTILITIES,LANDMARK,22144944.0,2222342.0,24367286.0,24109751.0,170034.0,,24279785.0,100,87501.0,1213989.0,2,
004,2/28/2026,P1SI,STRUCTURAL CONCRETE,LITHKO,1851808.0,209485.0,2061293.0,2061293.0,,,2061293.0,100,0.0,6800.0,2,
005,2/28/2026,P1SI,PREFAB STRUCTURE INSTALL,NAVIGATOR,512467.0,,512467.0,512467.0,,,512467.0,100,0.0,25623.0,2,
006,2/28/2026,P1SI,SITE ELECTRICAL TEMP GSE,FEYEN ZYLSTRA,8495490.0,,8495490.0,8495490.0,,,8495490.0,100,0.0,424775.0,2,
007,2/28/2026,P1SI,MECHANICAL & PLUMBING,CR HIPP,819828.0,23085.0,842913.0,829913.0,,,829913.0,98,13000.0,,2,
008,2/28/2026,P1SI,BSWOB SHELTER,DU-GARD INDUSTRIES,182800.0,,182800.0,182800.0,,,182800.0,100,0.0,9140.0,2,
009,2/28/2026,P1SI,PERMANENT FENCING,MANER FENCING,635686.0,53290.0,688976.0,688976.0,,,688976.0,100,0.0,34449.0,2,
010,2/28/2026,P1SI,SITE ELECTRICAL,FEYEN ZYLSTRA,7165932.0,587443.0,7753375.0,7753375.0,,,7753375.0,100,0.0,387669.0,2,
011,2/28/2026,P1SI,LANDSCAPING,YELLOWSTONE LANDSCAPE,1146740.0,89050.0,1235790.0,985806.0,,,985806.0,80,249984.0,49290.0,2,
012,2/28/2026,P1SI,GENERAL REQUIREMENTS,,,71060.0,71060.0,,71060.0,,71060.0,100,0.0,3553.0,2,
013,2/28/2026,P1SI,ALLOWANCE,,,40969.0,40969.0,,,,,0,40969.0,,2,
014,2/28/2026,P1SI,BUSINESS LICENSE,,,352.0,352.0,,352.0,,352.0,100,0.0,18.0,2,
015,2/28/2026,P1SI,BUILDERS RISK,,,2283.0,2283.0,,,,,0,2283.0,,2,
016,2/28/2026,P1SI,PERMITS,,,2539.0,2539.0,,2539.0,,2539.0,100,0.0,127.0,2,
017,2/28/2026,P1SI,CCIP,,,92735.0,92735.0,,92735.0,,92735.0,100,0.0,4637.0,2,
018,2/28/2026,P1SI,SDI,,,46134.0,46134.0,46134.0,,,46134.0,100,0.0,2307.0,2,
