Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
001,3/31/26,P1SI - PHASE I SITE IMPROVEMENTS,UNCOMMITTED SUB COST,,282354,0,282354,0,0,0,0,0%,282354,0,2,
002,3/31/26,P1SI - PHASE I SITE IMPROVEMENTS,TEMP GSE BUILDINGS,SPRUNG INSTANT,1078108,19903,1098011,1024203,73808,0,1098011,100%,0,0,2,
003,3/31/26,P1SI - PHASE I SITE IMPROVEMENTS,,,22144944,2222342,24367286,24279785,0,0,24279785,100%,87501,1213989,2,
004,3/31/26,EARTHWORK & UTILITIES(LANDMARK),STRUCTURAL CONCRETE,LITHKO,1851808,209485,2061293,2061293,0,0,2061293,100%,0,6800,2,
005,3/31/26,EARTHWORK & UTILITIES(LANDMARK),PREFAB STRUCTURE INSTALL,NAVIGATOR,512467,0,512467,512467,0,0,512467,100%,0,0,2,
006,3/31/26,EARTHWORK & UTILITIES(LANDMARK),SITE ELECTRICAL TEMP GSE,FEYEN ZYLSTRA,8495490,0,8495490,8495490,0,0,8495490,100%,0,424775,2,
007,3/31/26,EARTHWORK & UTILITIES(LANDMARK),MECHANICAL & PLUMBING,CR HIPP,819828,23085,842913,829913,0,0,829913,98%,13000,0,2,
008,3/31/26,EARTHWORK & UTILITIES(LANDMARK),BSWOB SHELTER,DUO-GARD INDUSTRIES,182800,0,182800,182800,0,0,182800,100%,0,9140,2,
009,3/31/26,EARTHWORK & UTILITIES(LANDMARK),PERMANENT FENCING - MANER FENCING,PERMANENT FENCING - MANER FENCING,635686,53290,688976,688976,0,0,688976,100%,0,34449,2,
010,3/31/26,EARTHWORK & UTILITIES(LANDMARK),,,7165932,587443,7753375,7753375,0,0,7753375,100%,0,387669,2,
011,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),LANDSCAPING,YELLOWSTONE LANDSCAPE,1146740,89050,1235790,985806,0,0,985806,80%,249984,49290,2,
012,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),GENERAL REQUIREMENTS,,0,71060,71060,71060,0,0,71060,100%,0,3553,2,
013,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),ALLOWANCE,,0,40969,40969,0,0,0,0,0%,40969,0,2,
014,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),BUSINESS LICENSE,,0,352,352,352,0,0,352,100%,0,18,2,
015,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),BUILDER'S RISK,,0,2283,2283,0,0,0,0,0%,2283,0,2,
016,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),PERMITS,,0,2539,2539,2539,0,0,2539,100%,0,127,2,
017,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),,,0,92735,92735,92735,0,0,92735,100%,0,4637,2,
018,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),SDI,,0,46134,46134,46134,0,0,46134,100%,0,2307,2,
019,3/31/26,SITE ELECTRICAL(FEYEN ZYLSTRA),FEE,,0,118669,118669,115890,1000,0,116890,99%,1779,5845,2,
020,3/31/26,SITE - SITE INFRASTRUCTURE,UNCOMMITTED SUB COST,,-38354673,38897465,542792,0,0,0,0,0%,542792,0,2,
021,3/31/26,SITE - SITE INFRASTRUCTURE,MV CABLE,FEYEN ZYLSTRA,1377481,0,1377481,1377481,0,0,1377481,100%,0,68874,2,
022,3/31/26,SITE - SITE INFRASTRUCTURE,NOI SITE MEDIUM VOLTAGE,ELDECO,28174035,12103351,40277386,30705011,4464212,0,35169223,87%,5108163,1758461,2,
023,3/31/26,SITE - SITE INFRASTRUCTURE,,,4688138,0,4688138,1586632,0,0,1586632,34%,3101506,79332,2,
024,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),MECHANICAL & PLUMBING,CR HIPP,1645769,0,1645769,1108813,0,0,1108813,67%,536956,55441,2,
025,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),SITEWORK -787 POND,GULFSTREAM,14166965,734815,14901780,9771156,2118363,0,11889519,80%,3012261,594476,2,
026,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),COMMUNICATIONS NOI,ELDECO,6131066,-28602,6102464,0,2683836,0,2683836,44%,3418628,0,2,
027,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),FIRE PUMPS REPLACEMENTS,SHAMBAUGH,278000,0,278000,0,0,0,0,0%,278000,0,2,
028,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),SITE ELECTRICAL,ELDECO,0,2123267,2123267,0,0,0,0,0%,2123267,0,2,
030,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),SITEWORK,LANDMARK,0,1125535,1125535,0,0,0,0,0%,1125535,0,2,
031,3/31/26,MS-C AND MS-D NEW SHINEY(ELDECO),,,13137889,0,13137889,0,0,0,0,0%,13137889,0,2,
032,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),GENERAL REQUIREMENTS,,7123913,17558,7141471,4183065,823506,0,5006572,70%,2134899,0,2,
033,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),GENERAL CONDITIONS,,2817315,0,2817315,2817315,0,0,2817315,100%,0,0,2,
034,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),PERMIT,,1000000,96823,1096823,1000000,0,0,1000000,91%,96823,0,2,
035,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),BUILDER'S RISK,,129920,44822,174742,0,0,0,0,0%,174742,0,2,
036,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),BUSINESS LICENSE,,31000,13753,44753,0,0,0,0,0%,44753,0,2,
037,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),CCIP,,1323257,1591563,2914820,2052710,0,0,2052710,70%,862110,0,3,
038,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),SDI,,649598,763301,1412899,1061266,0,0,1061266,75%,351633,0,3,
039,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),FEE,,1469442,1810713,3280155,1789648,350000,0,2139648,65%,1140507,0,3,
040,3/31/26,TEMP FIRE - SITE INFRASTRUCTURE,CONCRETE,LITHKO,0,473681,473681,0,33000,0,33000,7%,440681,1650,3,
041,3/31/26,TEMP FIRE - SITE INFRASTRUCTURE,,,0,1481418,1481418,1195739,131000,0,1326739,90%,154679,66337,3,
042,3/31/26,ELECTRICAL(FEYEN ZYLSTRA),SITEWORK,OL THOMPSON,0,1053843,1053843,770799,54901,0,825700,78%,228143,41285,3,
043,3/31/26,ELECTRICAL(FEYEN ZYLSTRA),,,0,14160,14160,14160,0,0,14160,100%,0,708,3,
044,3/31/26,PERMANENT FENCING(MANER),TERMITE CONTROL,CAROLINA EXTERMINATING,0,9575,9575,0,6575,0,6575,69%,3000,329,3,
045,3/31/26,PERMANENT FENCING(MANER),GENERAL REQUIREMENTS,,0,92500,92500,0,0,0,0,0%,92500,0,3,
